,Fiyat,Marka,Seri,Model,Yıl,Yakıt,Vites,KM,Kasa_Tipi,Motor_Gucu,Motor_Hacmi,Cekis,Renk,Garanti,Plaka,Kimden,Takas
0,53.500 TL,Fiat,Linea,1.3 Multijet Active Plus,2013,Dizel,Manuel,133.500,Sedan,95 hp,1248 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
1,105.000 TL,Renault,Megane,1.5 dCi GT-Line,2014,Dizel,Yarı Otomatik,65.000,Hatchback 5 kapı,110 hp,1461 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
2,41.750 TL,Volkswagen,Polo,1.4 TDi Trendline,2006,Dizel,Manuel,254.000,Hatchback 5 kapı,80 hp,1422 cc,Önden Çekiş,Beyaz,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
3,32.900 TL,Peugeot,206,1.4 XR,2000,Benzin & LPG,Otomatik,200.000,Hatchback 5 kapı,75 hp,1360 cc,Önden Çekiş,Yeşil,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
4,62.000 TL,Ford,Focus,1.6 TDCi Titanium X,2011,Dizel,Manuel,235.000,Sedan,115 hp,1560 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
5,31.500 TL,Toyota,Corolla,1.6 XLi,1996,Benzin & LPG,Manuel,300.000,Sedan,105 hp,1587 cc,Önden Çekiş,Bej,Hayır,Türkiye (TR) Plakalı,Galeriden,Evet
6,122.000 TL,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2013,Benzin,Yarı Otomatik,67.000,Sedan,122 hp,1390 cc,Önden Çekiş,Siyah,Hayır,Türkiye (TR) Plakalı,Galeriden,Hayır
7,103.000 TL,Volkswagen,Passat,1.4 TSI BlueMotion Comfortline,2011,Benzin,Manuel,163.000,Sedan,122 hp,1390 cc,Önden Çekiş,Gri,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
8,42.000 TL,Hyundai,Elantra,1.6 GLS,2005,Benzin & LPG,Manuel,113.000,Sedan,105 hp,1599 cc,Önden Çekiş,Lacivert,Hayır,Türkiye (TR) Plakalı,Sahibinden,Evet
9,175.450 TL,Honda,Civic,1.6i VTEC Eco Executive,2018,Benzin & LPG,Otomatik,13.488,Sedan,125 hp,1598 cc,Önden Çekiş,Beyaz,Evet,Türkiye (TR) Plakalı,Sahibinden,Evet
